Burden rank,State,Zone,LGA,Zero-dose children,Zero-dose rate (%),Equity index,Equity tier,Archetype,Intervention bundle,Evidence base (method and citation),Priority flag
179,Yobe,North East,Geidam,3258.0,39.5,65.7,Critical,Conflict-Affected / Nomadic,Security-integrated microplanning + negotiated access + mobile and transit-point vaccination teams,"Binding constraint: insecurity and population mobility. Evidence-based response: negotiated access, mobile and transit-point vaccination, security-integrated microplanning. Frameworks: WHO/UNICEF immunization in conflict settings; polio Days of Tranquility; permanent transit-point strategy.",Standard
180,Benue,North Central,Ushongo,3213.0,42.7,48.8,High,Peri-urban / Migrant Dense (transitional),Ward-level enumeration + migrant-sensitive scheduling + Periodic Intensification of Routine Immunization,"Binding constraint: population mobility and enumeration gaps. Evidence-based response: ward enumeration, migrant-sensitive scheduling, Periodic Intensification of Routine Immunization. Frameworks: WHO PIRI; WHO/UNICEF urban microplanning.",Standard
181,Kogi,North Central,Ibaji,3199.0,45.6,40.4,Moderate,Conflict-Affected / Nomadic,Security-integrated microplanning + negotiated access + mobile and transit-point vaccination teams,"Binding constraint: insecurity and population mobility. Evidence-based response: negotiated access, mobile and transit-point vaccination, security-integrated microplanning. Frameworks: WHO/UNICEF immunization in conflict settings; polio Days of Tranquility; permanent transit-point strategy.",Standard
182,Kogi,North Central,Igalamela-Odolu,3192.0,39.5,36.2,Moderate,Peri-urban / Migrant Dense (transitional),Ward-level enumeration + migrant-sensitive scheduling + Periodic Intensification of Routine Immunization,"Binding constraint: population mobility and enumeration gaps. Evidence-based response: ward enumeration, migrant-sensitive scheduling, Periodic Intensification of Routine Immunization. Frameworks: WHO PIRI; WHO/UNICEF urban microplanning.",Standard
183,Rivers,South South,Ogba - Egbema - Ndoni,3080.0,25.4,44.4,High,Peri-urban / Migrant Dense (transitional),Ward-level enumeration + migrant-sensitive scheduling + Periodic Intensification of Routine Immunization,"Binding constraint: population mobility and enumeration gaps. Evidence-based response: ward enumeration, migrant-sensitive scheduling, Periodic Intensification of Routine Immunization. Frameworks: WHO PIRI; WHO/UNICEF urban microplanning.",Standard
184,Oyo,South West,Iseyin,3066.0,30.1,44.6,High,Peri-urban / Migrant Dense (transitional),Ward-level enumeration + migrant-sensitive scheduling + Periodic Intensification of Routine Immunization,"Binding constraint: population mobility and enumeration gaps. Evidence-based response: ward enumeration, migrant-sensitive scheduling, Periodic Intensification of Routine Immunization. Frameworks: WHO PIRI; WHO/UNICEF urban microplanning.",Standard
185,Kebbi,North West,Ngaski,3062.0,37.3,58.2,Critical,Conflict-Affected / Nomadic,Security-integrated microplanning + negotiated access + mobile and transit-point vaccination teams,"Binding constraint: insecurity and population mobility. Evidence-based response: negotiated access, mobile and transit-point vaccination, security-integrated microplanning. Frameworks: WHO/UNICEF immunization in conflict settings; polio Days of Tranquility; permanent transit-point strategy.",Standard
186,Edo,South South,Ikpoba-Okha,3057.0,18.4,29.0,Low,Urban Slums (better-off urban core),Targeted social mobilisation + fixed-site plus outreach hybrid + private-sector last-mile reach,"Binding constraint: residual demand-side gaps in informal settlements. Evidence-based response: demand generation, targeted social mobilisation, private-sector last-mile reach. Frameworks: WHO Behavioural and Social Drivers of vaccination; urban private-sector engagement.",Standard
187,Borno,North East,Gubio,3039.0,39.2,53.9,High,Conflict-Affected / Nomadic,Security-integrated microplanning + negotiated access + mobile and transit-point vaccination teams,"Binding constraint: insecurity and population mobility. Evidence-based response: negotiated access, mobile and transit-point vaccination, security-integrated microplanning. Frameworks: WHO/UNICEF immunization in conflict settings; polio Days of Tranquility; permanent transit-point strategy.",Standard
188,Katsina,North West,Ingawa,3039.0,24.3,62.9,Critical,Remote Rural / Hard-to-Reach,Reaching-Every-Community microplanning + BHCPF-funded outreach + community health workers; co-deliver with nutrition and antenatal contacts,"Binding constraint: geographic access, low female education, weak maternal-and-child-health platform. Evidence-based response: fixed-plus-outreach integrated with nutrition and antenatal contacts. Frameworks: WHO Reaching Every District/Community; Gavi zero-dose IRMMA; WHO/UNICEF Big Catch-Up (2023).",Standard
189,Borno,North East,Monguno,3037.0,54.0,56.4,Critical,Conflict-Affected / Nomadic,Security-integrated microplanning + negotiated access + mobile and transit-point vaccination teams,"Binding constraint: insecurity and population mobility. Evidence-based response: negotiated access, mobile and transit-point vaccination, security-integrated microplanning. Frameworks: WHO/UNICEF immunization in conflict settings; polio Days of Tranquility; permanent transit-point strategy.",Standard
190,Sokoto,North West,Kware,3014.0,35.2,52.9,High,Conflict-Affected / Nomadic,Security-integrated microplanning + negotiated access + mobile and transit-point vaccination teams,"Binding constraint: insecurity and population mobility. Evidence-based response: negotiated access, mobile and transit-point vaccination, security-integrated microplanning. Frameworks: WHO/UNICEF immunization in conflict settings; polio Days of Tranquility; permanent transit-point strategy.",Standard
191,Kano,North West,Minjibir,2990.0,16.5,41.0,Moderate,Remote Rural / Hard-to-Reach,Reaching-Every-Community microplanning + BHCPF-funded outreach + community health workers; co-deliver with nutrition and antenatal contacts,"Binding constraint: geographic access, low female education, weak maternal-and-child-health platform. Evidence-based response: fixed-plus-outreach integrated with nutrition and antenatal contacts. Frameworks: WHO Reaching Every District/Community; Gavi zero-dose IRMMA; WHO/UNICEF Big Catch-Up (2023).",Standard
192,Kano,North West,Tofa,2986.0,36.8,54.0,High,Remote Rural / Hard-to-Reach,Reaching-Every-Community microplanning + BHCPF-funded outreach + community health workers; co-deliver with nutrition and antenatal contacts,"Binding constraint: geographic access, low female education, weak maternal-and-child-health platform. Evidence-based response: fixed-plus-outreach integrated with nutrition and antenatal contacts. Frameworks: WHO Reaching Every District/Community; Gavi zero-dose IRMMA; WHO/UNICEF Big Catch-Up (2023).",Standard
193,Kogi,North Central,Kogi,2977.0,47.0,44.2,Moderate,Peri-urban / Migrant Dense (transitional),Ward-level enumeration + migrant-sensitive scheduling + Periodic Intensification of Routine Immunization,"Binding constraint: population mobility and enumeration gaps. Evidence-based response: ward enumeration, migrant-sensitive scheduling, Periodic Intensification of Routine Immunization. Frameworks: WHO PIRI; WHO/UNICEF urban microplanning.",Standard
194,Katsina,North West,Dutsi,2961.0,33.1,50.4,High,Remote Rural / Hard-to-Reach,Reaching-Every-Community microplanning + BHCPF-funded outreach + community health workers; co-deliver with nutrition and antenatal contacts,"Binding constraint: geographic access, low female education, weak maternal-and-child-health platform. Evidence-based response: fixed-plus-outreach integrated with nutrition and antenatal contacts. Frameworks: WHO Reaching Every District/Community; Gavi zero-dose IRMMA; WHO/UNICEF Big Catch-Up (2023).",Standard
195,Katsina,North West,Dan Musa,2954.0,35.3,65.7,Critical,Conflict-Affected / Nomadic,Security-integrated microplanning + negotiated access + mobile and transit-point vaccination teams,"Binding constraint: insecurity and population mobility. Evidence-based response: negotiated access, mobile and transit-point vaccination, security-integrated microplanning. Frameworks: WHO/UNICEF immunization in conflict settings; polio Days of Tranquility; permanent transit-point strategy.",Standard
196,Plateau,North Central,Riyom,2943.0,39.8,47.1,High,Peri-urban / Migrant Dense (transitional),Ward-level enumeration + migrant-sensitive scheduling + Periodic Intensification of Routine Immunization,"Binding constraint: population mobility and enumeration gaps. Evidence-based response: ward enumeration, migrant-sensitive scheduling, Periodic Intensification of Routine Immunization. Frameworks: WHO PIRI; WHO/UNICEF urban microplanning.",Standard
197,Bauchi,North East,Kirfi,2924.0,18.2,59.5,Critical,Remote Rural / Hard-to-Reach,Reaching-Every-Community microplanning + BHCPF-funded outreach + community health workers; co-deliver with nutrition and antenatal contacts,"Binding constraint: geographic access, low female education, weak maternal-and-child-health platform. Evidence-based response: fixed-plus-outreach integrated with nutrition and antenatal contacts. Frameworks: WHO Reaching Every District/Community; Gavi zero-dose IRMMA; WHO/UNICEF Big Catch-Up (2023).",Standard
198,Katsina,North West,Kankia,2907.0,25.9,55.4,Critical,Remote Rural / Hard-to-Reach,Reaching-Every-Community microplanning + BHCPF-funded outreach + community health workers; co-deliver with nutrition and antenatal contacts,"Binding constraint: geographic access, low female education, weak maternal-and-child-health platform. Evidence-based response: fixed-plus-outreach integrated with nutrition and antenatal contacts. Frameworks: WHO Reaching Every District/Community; Gavi zero-dose IRMMA; WHO/UNICEF Big Catch-Up (2023).",Standard
199,Plateau,North Central,Kanke,2900.0,41.6,56.4,Critical,Conflict-Affected / Nomadic,Security-integrated microplanning + negotiated access + mobile and transit-point vaccination teams,"Binding constraint: insecurity and population mobility. Evidence-based response: negotiated access, mobile and transit-point vaccination, security-integrated microplanning. Frameworks: WHO/UNICEF immunization in conflict settings; polio Days of Tranquility; permanent transit-point strategy.",Standard
200,Edo,South South,Oredo,2886.0,17.2,21.9,Low,Urban Slums (better-off urban core),Targeted social mobilisation + fixed-site plus outreach hybrid + private-sector last-mile reach,"Binding constraint: residual demand-side gaps in informal settlements. Evidence-based response: demand generation, targeted social mobilisation, private-sector last-mile reach. Frameworks: WHO Behavioural and Social Drivers of vaccination; urban private-sector engagement.",Standard
201,Ondo,South West,Ifedore,2876.0,32.4,29.0,Low,Peri-urban / Migrant Dense (transitional),Ward-level enumeration + migrant-sensitive scheduling + Periodic Intensification of Routine Immunization,"Binding constraint: population mobility and enumeration gaps. Evidence-based response: ward enumeration, migrant-sensitive scheduling, Periodic Intensification of Routine Immunization. Frameworks: WHO PIRI; WHO/UNICEF urban microplanning.",Standard
202,Oyo,South West,Ibadan South East,2866.0,27.0,10.3,Low,Urban Slums (better-off urban core),Targeted social mobilisation + fixed-site plus outreach hybrid + private-sector last-mile reach,"Binding constraint: residual demand-side gaps in informal settlements. Evidence-based response: demand generation, targeted social mobilisation, private-sector last-mile reach. Frameworks: WHO Behavioural and Social Drivers of vaccination; urban private-sector engagement.",Standard
203,Delta,South South,Warri South,2856.0,23.5,60.8,Critical,Riverine / Geographically Isolated,Boat-based outreach + community health worker networks + multi-antigen bundling per visit,Binding constraint: extreme physical access. Evidence-based response: transport-adapted (boat) outreach with multi-antigen bundling. Frameworks: WHO Reaching Every District/Community; riverine and boat-clinic service-delivery models.,Standard
204,Ekiti,South West,Ado Ekiti,2850.0,20.4,19.8,Low,Urban Slums (better-off urban core),Targeted social mobilisation + fixed-site plus outreach hybrid + private-sector last-mile reach,"Binding constraint: residual demand-side gaps in informal settlements. Evidence-based response: demand generation, targeted social mobilisation, private-sector last-mile reach. Frameworks: WHO Behavioural and Social Drivers of vaccination; urban private-sector engagement.",Standard
205,Rivers,South South,Etche,2849.0,26.6,33.9,Moderate,Urban Slums (better-off urban core),Targeted social mobilisation + fixed-site plus outreach hybrid + private-sector last-mile reach,"Binding constraint: residual demand-side gaps in informal settlements. Evidence-based response: demand generation, targeted social mobilisation, private-sector last-mile reach. Frameworks: WHO Behavioural and Social Drivers of vaccination; urban private-sector engagement.",Standard
206,Adamawa,North East,Mayo-Belwa,2846.0,29.6,57.9,Critical,Conflict-Affected / Nomadic,Security-integrated microplanning + negotiated access + mobile and transit-point vaccination teams,"Binding constraint: insecurity and population mobility. Evidence-based response: negotiated access, mobile and transit-point vaccination, security-integrated microplanning. Frameworks: WHO/UNICEF immunization in conflict settings; polio Days of Tranquility; permanent transit-point strategy.",Standard
207,Ondo,South West,Akoko South West,2840.0,24.7,30.3,Low,Urban Slums (better-off urban core),Targeted social mobilisation + fixed-site plus outreach hybrid + private-sector last-mile reach,"Binding constraint: residual demand-side gaps in informal settlements. Evidence-based response: demand generation, targeted social mobilisation, private-sector last-mile reach. Frameworks: WHO Behavioural and Social Drivers of vaccination; urban private-sector engagement.",Standard
208,Oyo,South West,Saki West,2835.0,26.0,51.8,High,Peri-urban / Migrant Dense (transitional),Ward-level enumeration + migrant-sensitive scheduling + Periodic Intensification of Routine Immunization,"Binding constraint: population mobility and enumeration gaps. Evidence-based response: ward enumeration, migrant-sensitive scheduling, Periodic Intensification of Routine Immunization. Frameworks: WHO PIRI; WHO/UNICEF urban microplanning.",Standard
209,Borno,North East,Abadam,2817.0,55.0,58.1,Critical,Conflict-Affected / Nomadic,Security-integrated microplanning + negotiated access + mobile and transit-point vaccination teams,"Binding constraint: insecurity and population mobility. Evidence-based response: negotiated access, mobile and transit-point vaccination, security-integrated microplanning. Frameworks: WHO/UNICEF immunization in conflict settings; polio Days of Tranquility; permanent transit-point strategy.",Standard
210,Rivers,South South,Gokana,2817.0,28.1,25.6,Low,Peri-urban / Migrant Dense (transitional),Ward-level enumeration + migrant-sensitive scheduling + Periodic Intensification of Routine Immunization,"Binding constraint: population mobility and enumeration gaps. Evidence-based response: ward enumeration, migrant-sensitive scheduling, Periodic Intensification of Routine Immunization. Frameworks: WHO PIRI; WHO/UNICEF urban microplanning.",Standard
211,Kano,North West,Warawa,2816.0,25.9,50.4,High,Remote Rural / Hard-to-Reach,Reaching-Every-Community microplanning + BHCPF-funded outreach + community health workers; co-deliver with nutrition and antenatal contacts,"Binding constraint: geographic access, low female education, weak maternal-and-child-health platform. Evidence-based response: fixed-plus-outreach integrated with nutrition and antenatal contacts. Frameworks: WHO Reaching Every District/Community; Gavi zero-dose IRMMA; WHO/UNICEF Big Catch-Up (2023).",Standard
212,Plateau,North Central,Bassa,2808.0,26.4,49.3,High,Peri-urban / Migrant Dense (transitional),Ward-level enumeration + migrant-sensitive scheduling + Periodic Intensification of Routine Immunization,"Binding constraint: population mobility and enumeration gaps. Evidence-based response: ward enumeration, migrant-sensitive scheduling, Periodic Intensification of Routine Immunization. Frameworks: WHO PIRI; WHO/UNICEF urban microplanning.",Standard
213,Benue,North Central,Ukum,2805.0,33.0,48.5,High,Peri-urban / Migrant Dense (transitional),Ward-level enumeration + migrant-sensitive scheduling + Periodic Intensification of Routine Immunization,"Binding constraint: population mobility and enumeration gaps. Evidence-based response: ward enumeration, migrant-sensitive scheduling, Periodic Intensification of Routine Immunization. Frameworks: WHO PIRI; WHO/UNICEF urban microplanning.",Standard
214,Adamawa,North East,Demsa,2797.0,24.9,56.7,Critical,Conflict-Affected / Nomadic,Security-integrated microplanning + negotiated access + mobile and transit-point vaccination teams,"Binding constraint: insecurity and population mobility. Evidence-based response: negotiated access, mobile and transit-point vaccination, security-integrated microplanning. Frameworks: WHO/UNICEF immunization in conflict settings; polio Days of Tranquility; permanent transit-point strategy.",Standard
215,Plateau,North Central,Barkin Ladi,2792.0,27.7,45.0,High,Peri-urban / Migrant Dense (transitional),Ward-level enumeration + migrant-sensitive scheduling + Periodic Intensification of Routine Immunization,"Binding constraint: population mobility and enumeration gaps. Evidence-based response: ward enumeration, migrant-sensitive scheduling, Periodic Intensification of Routine Immunization. Frameworks: WHO PIRI; WHO/UNICEF urban microplanning.",Standard
216,Kwara,North Central,Irepodun,2788.0,30.9,33.5,Moderate,Peri-urban / Migrant Dense (transitional),Ward-level enumeration + migrant-sensitive scheduling + Periodic Intensification of Routine Immunization,"Binding constraint: population mobility and enumeration gaps. Evidence-based response: ward enumeration, migrant-sensitive scheduling, Periodic Intensification of Routine Immunization. Frameworks: WHO PIRI; WHO/UNICEF urban microplanning.",Standard
217,Delta,South South,Ughelli North,2777.0,22.2,28.6,Low,Urban Slums (better-off urban core),Targeted social mobilisation + fixed-site plus outreach hybrid + private-sector last-mile reach,"Binding constraint: residual demand-side gaps in informal settlements. Evidence-based response: demand generation, targeted social mobilisation, private-sector last-mile reach. Frameworks: WHO Behavioural and Social Drivers of vaccination; urban private-sector engagement.",Standard
218,Kebbi,North West,Sakaba,2771.0,46.4,58.5,Critical,Conflict-Affected / Nomadic,Security-integrated microplanning + negotiated access + mobile and transit-point vaccination teams,"Binding constraint: insecurity and population mobility. Evidence-based response: negotiated access, mobile and transit-point vaccination, security-integrated microplanning. Frameworks: WHO/UNICEF immunization in conflict settings; polio Days of Tranquility; permanent transit-point strategy.",Standard
219,Plateau,North Central,Jos South,2763.0,15.8,35.7,Moderate,Peri-urban / Migrant Dense (transitional),Ward-level enumeration + migrant-sensitive scheduling + Periodic Intensification of Routine Immunization,"Binding constraint: population mobility and enumeration gaps. Evidence-based response: ward enumeration, migrant-sensitive scheduling, Periodic Intensification of Routine Immunization. Frameworks: WHO PIRI; WHO/UNICEF urban microplanning.",Standard
220,Kwara,North Central,Oyun,2712.0,47.0,36.3,Moderate,Peri-urban / Migrant Dense (transitional),Ward-level enumeration + migrant-sensitive scheduling + Periodic Intensification of Routine Immunization,"Binding constraint: population mobility and enumeration gaps. Evidence-based response: ward enumeration, migrant-sensitive scheduling, Periodic Intensification of Routine Immunization. Frameworks: WHO PIRI; WHO/UNICEF urban microplanning.",Standard
221,Kebbi,North West,Fakai,2707.0,34.8,59.5,Critical,Remote Rural / Hard-to-Reach,Reaching-Every-Community microplanning + BHCPF-funded outreach + community health workers; co-deliver with nutrition and antenatal contacts,"Binding constraint: geographic access, low female education, weak maternal-and-child-health platform. Evidence-based response: fixed-plus-outreach integrated with nutrition and antenatal contacts. Frameworks: WHO Reaching Every District/Community; Gavi zero-dose IRMMA; WHO/UNICEF Big Catch-Up (2023).",Standard
222,Kwara,North Central,Edu,2698.0,21.9,44.1,Moderate,Conflict-Affected / Nomadic,Security-integrated microplanning + negotiated access + mobile and transit-point vaccination teams,"Binding constraint: insecurity and population mobility. Evidence-based response: negotiated access, mobile and transit-point vaccination, security-integrated microplanning. Frameworks: WHO/UNICEF immunization in conflict settings; polio Days of Tranquility; permanent transit-point strategy.",Standard
223,Kogi,North Central,Omala,2682.0,45.2,42.6,Moderate,Peri-urban / Migrant Dense (transitional),Ward-level enumeration + migrant-sensitive scheduling + Periodic Intensification of Routine Immunization,"Binding constraint: population mobility and enumeration gaps. Evidence-based response: ward enumeration, migrant-sensitive scheduling, Periodic Intensification of Routine Immunization. Frameworks: WHO PIRI; WHO/UNICEF urban microplanning.",Standard
224,Kogi,North Central,Ajaokuta,2679.0,39.8,38.8,Moderate,Peri-urban / Migrant Dense (transitional),Ward-level enumeration + migrant-sensitive scheduling + Periodic Intensification of Routine Immunization,"Binding constraint: population mobility and enumeration gaps. Evidence-based response: ward enumeration, migrant-sensitive scheduling, Periodic Intensification of Routine Immunization. Frameworks: WHO PIRI; WHO/UNICEF urban microplanning.",Standard
225,Rivers,South South,Okrika,2678.0,28.1,41.8,Moderate,Riverine / Geographically Isolated,Boat-based outreach + community health worker networks + multi-antigen bundling per visit,Binding constraint: extreme physical access. Evidence-based response: transport-adapted (boat) outreach with multi-antigen bundling. Frameworks: WHO Reaching Every District/Community; riverine and boat-clinic service-delivery models.,Standard
226,Gombe,North East,Billiri,2676.0,14.1,51.4,High,Conflict-Affected / Nomadic,Security-integrated microplanning + negotiated access + mobile and transit-point vaccination teams,"Binding constraint: insecurity and population mobility. Evidence-based response: negotiated access, mobile and transit-point vaccination, security-integrated microplanning. Frameworks: WHO/UNICEF immunization in conflict settings; polio Days of Tranquility; permanent transit-point strategy.",Standard
227,Jigawa,North West,Malam Madori,2658.0,22.0,66.6,Critical,Remote Rural / Hard-to-Reach,Reaching-Every-Community microplanning + BHCPF-funded outreach + community health workers; co-deliver with nutrition and antenatal contacts,"Binding constraint: geographic access, low female education, weak maternal-and-child-health platform. Evidence-based response: fixed-plus-outreach integrated with nutrition and antenatal contacts. Frameworks: WHO Reaching Every District/Community; Gavi zero-dose IRMMA; WHO/UNICEF Big Catch-Up (2023).",Standard
228,Kwara,North Central,Pategi,2658.0,39.3,44.6,High,Conflict-Affected / Nomadic,Security-integrated microplanning + negotiated access + mobile and transit-point vaccination teams,"Binding constraint: insecurity and population mobility. Evidence-based response: negotiated access, mobile and transit-point vaccination, security-integrated microplanning. Frameworks: WHO/UNICEF immunization in conflict settings; polio Days of Tranquility; permanent transit-point strategy.",Standard
229,Kogi,North Central,Ankpa,2655.0,18.1,37.1,Moderate,Peri-urban / Migrant Dense (transitional),Ward-level enumeration + migrant-sensitive scheduling + Periodic Intensification of Routine Immunization,"Binding constraint: population mobility and enumeration gaps. Evidence-based response: ward enumeration, migrant-sensitive scheduling, Periodic Intensification of Routine Immunization. Frameworks: WHO PIRI; WHO/UNICEF urban microplanning.",Standard
230,Benue,North Central,Ado,2652.0,36.7,56.9,Critical,Peri-urban / Migrant Dense (transitional),Ward-level enumeration + migrant-sensitive scheduling + Periodic Intensification of Routine Immunization,"Binding constraint: population mobility and enumeration gaps. Evidence-based response: ward enumeration, migrant-sensitive scheduling, Periodic Intensification of Routine Immunization. Frameworks: WHO PIRI; WHO/UNICEF urban microplanning.",Standard
231,Rivers,South South,Andoni,2636.0,28.2,32.3,Moderate,Peri-urban / Migrant Dense (transitional),Ward-level enumeration + migrant-sensitive scheduling + Periodic Intensification of Routine Immunization,"Binding constraint: population mobility and enumeration gaps. Evidence-based response: ward enumeration, migrant-sensitive scheduling, Periodic Intensification of Routine Immunization. Frameworks: WHO PIRI; WHO/UNICEF urban microplanning.",Standard
232,Benue,North Central,Konshisha,2627.0,29.6,49.0,High,Peri-urban / Migrant Dense (transitional),Ward-level enumeration + migrant-sensitive scheduling + Periodic Intensification of Routine Immunization,"Binding constraint: population mobility and enumeration gaps. Evidence-based response: ward enumeration, migrant-sensitive scheduling, Periodic Intensification of Routine Immunization. Frameworks: WHO PIRI; WHO/UNICEF urban microplanning.",Standard
233,Kogi,North Central,Yagba East,2599.0,32.0,41.3,Moderate,Peri-urban / Migrant Dense (transitional),Ward-level enumeration + migrant-sensitive scheduling + Periodic Intensification of Routine Immunization,"Binding constraint: population mobility and enumeration gaps. Evidence-based response: ward enumeration, migrant-sensitive scheduling, Periodic Intensification of Routine Immunization. Frameworks: WHO PIRI; WHO/UNICEF urban microplanning.",Standard
234,Kano,North West,Garum Mallam,2593.0,26.5,69.9,Critical,Remote Rural / Hard-to-Reach,Reaching-Every-Community microplanning + BHCPF-funded outreach + community health workers; co-deliver with nutrition and antenatal contacts,"Binding constraint: geographic access, low female education, weak maternal-and-child-health platform. Evidence-based response: fixed-plus-outreach integrated with nutrition and antenatal contacts. Frameworks: WHO Reaching Every District/Community; Gavi zero-dose IRMMA; WHO/UNICEF Big Catch-Up (2023).",Standard
235,Kwara,North Central,Offa,2581.0,47.5,23.1,Low,Peri-urban / Migrant Dense (transitional),Ward-level enumeration + migrant-sensitive scheduling + Periodic Intensification of Routine Immunization,"Binding constraint: population mobility and enumeration gaps. Evidence-based response: ward enumeration, migrant-sensitive scheduling, Periodic Intensification of Routine Immunization. Frameworks: WHO PIRI; WHO/UNICEF urban microplanning.",Standard
236,Kano,North West,Kabo,2537.0,20.1,42.2,Moderate,Remote Rural / Hard-to-Reach,Reaching-Every-Community microplanning + BHCPF-funded outreach + community health workers; co-deliver with nutrition and antenatal contacts,"Binding constraint: geographic access, low female education, weak maternal-and-child-health platform. Evidence-based response: fixed-plus-outreach integrated with nutrition and antenatal contacts. Frameworks: WHO Reaching Every District/Community; Gavi zero-dose IRMMA; WHO/UNICEF Big Catch-Up (2023).",Standard
237,Katsina,North West,Bindawa,2527.0,22.6,56.8,Critical,Remote Rural / Hard-to-Reach,Reaching-Every-Community microplanning + BHCPF-funded outreach + community health workers; co-deliver with nutrition and antenatal contacts,"Binding constraint: geographic access, low female education, weak maternal-and-child-health platform. Evidence-based response: fixed-plus-outreach integrated with nutrition and antenatal contacts. Frameworks: WHO Reaching Every District/Community; Gavi zero-dose IRMMA; WHO/UNICEF Big Catch-Up (2023).",Standard
238,Jigawa,North West,Yankwashi,2526.0,36.1,58.3,Critical,Remote Rural / Hard-to-Reach,Reaching-Every-Community microplanning + BHCPF-funded outreach + community health workers; co-deliver with nutrition and antenatal contacts,"Binding constraint: geographic access, low female education, weak maternal-and-child-health platform. Evidence-based response: fixed-plus-outreach integrated with nutrition and antenatal contacts. Frameworks: WHO Reaching Every District/Community; Gavi zero-dose IRMMA; WHO/UNICEF Big Catch-Up (2023).",Standard
239,Ondo,South West,Owo,2524.0,22.5,33.5,Moderate,Peri-urban / Migrant Dense (transitional),Ward-level enumeration + migrant-sensitive scheduling + Periodic Intensification of Routine Immunization,"Binding constraint: population mobility and enumeration gaps. Evidence-based response: ward enumeration, migrant-sensitive scheduling, Periodic Intensification of Routine Immunization. Frameworks: WHO PIRI; WHO/UNICEF urban microplanning.",Standard
240,Adamawa,North East,Mubi North,2524.0,26.4,51.8,High,Conflict-Affected / Nomadic,Security-integrated microplanning + negotiated access + mobile and transit-point vaccination teams,"Binding constraint: insecurity and population mobility. Evidence-based response: negotiated access, mobile and transit-point vaccination, security-integrated microplanning. Frameworks: WHO/UNICEF immunization in conflict settings; polio Days of Tranquility; permanent transit-point strategy.",Standard
241,Lagos,South West,Agege,2513.0,14.3,6.5,Low,Urban Slums (better-off urban core),Targeted social mobilisation + fixed-site plus outreach hybrid + private-sector last-mile reach,"Binding constraint: residual demand-side gaps in informal settlements. Evidence-based response: demand generation, targeted social mobilisation, private-sector last-mile reach. Frameworks: WHO Behavioural and Social Drivers of vaccination; urban private-sector engagement.",Standard
242,Yobe,North East,Bade,2492.0,33.6,67.0,Critical,Remote Rural / Hard-to-Reach,Reaching-Every-Community microplanning + BHCPF-funded outreach + community health workers; co-deliver with nutrition and antenatal contacts,"Binding constraint: geographic access, low female education, weak maternal-and-child-health platform. Evidence-based response: fixed-plus-outreach integrated with nutrition and antenatal contacts. Frameworks: WHO Reaching Every District/Community; Gavi zero-dose IRMMA; WHO/UNICEF Big Catch-Up (2023).",Standard
243,Jigawa,North West,Guri,2485.0,30.0,63.1,Critical,Remote Rural / Hard-to-Reach,Reaching-Every-Community microplanning + BHCPF-funded outreach + community health workers; co-deliver with nutrition and antenatal contacts,"Binding constraint: geographic access, low female education, weak maternal-and-child-health platform. Evidence-based response: fixed-plus-outreach integrated with nutrition and antenatal contacts. Frameworks: WHO Reaching Every District/Community; Gavi zero-dose IRMMA; WHO/UNICEF Big Catch-Up (2023).",Standard
244,Plateau,North Central,Langtang North,2481.0,31.1,53.3,High,Conflict-Affected / Nomadic,Security-integrated microplanning + negotiated access + mobile and transit-point vaccination teams,"Binding constraint: insecurity and population mobility. Evidence-based response: negotiated access, mobile and transit-point vaccination, security-integrated microplanning. Frameworks: WHO/UNICEF immunization in conflict settings; polio Days of Tranquility; permanent transit-point strategy.",Standard
245,Benue,North Central,Vandeikya,2479.0,27.0,47.8,High,Peri-urban / Migrant Dense (transitional),Ward-level enumeration + migrant-sensitive scheduling + Periodic Intensification of Routine Immunization,"Binding constraint: population mobility and enumeration gaps. Evidence-based response: ward enumeration, migrant-sensitive scheduling, Periodic Intensification of Routine Immunization. Frameworks: WHO PIRI; WHO/UNICEF urban microplanning.",Standard
246,Niger,North Central,Gurara,2468.0,47.7,43.0,Moderate,Conflict-Affected / Nomadic,Security-integrated microplanning + negotiated access + mobile and transit-point vaccination teams,"Binding constraint: insecurity and population mobility. Evidence-based response: negotiated access, mobile and transit-point vaccination, security-integrated microplanning. Frameworks: WHO/UNICEF immunization in conflict settings; polio Days of Tranquility; permanent transit-point strategy.",Standard
247,Kogi,North Central,Kabba/Bunu,2467.0,31.0,40.8,Moderate,Peri-urban / Migrant Dense (transitional),Ward-level enumeration + migrant-sensitive scheduling + Periodic Intensification of Routine Immunization,"Binding constraint: population mobility and enumeration gaps. Evidence-based response: ward enumeration, migrant-sensitive scheduling, Periodic Intensification of Routine Immunization. Frameworks: WHO PIRI; WHO/UNICEF urban microplanning.",Standard
248,Rivers,South South,Degema,2452.0,22.9,51.4,High,Riverine / Geographically Isolated,Boat-based outreach + community health worker networks + multi-antigen bundling per visit,Binding constraint: extreme physical access. Evidence-based response: transport-adapted (boat) outreach with multi-antigen bundling. Frameworks: WHO Reaching Every District/Community; riverine and boat-clinic service-delivery models.,Standard
